"id","sex","education","income","internet","e_reader","number_of_books"
100014,"male","Some college","$20,000 - $30,000","Yes","No","10"
100015,"female","High school graduate","Don't know","No","No","36"
100016,"female","Some college","Don't know","Yes","No","1"
100017,"male","Some college","$10,000 - $20,000","Yes","No","5"
100019,"male","Some college","$100,000 - $150,000","Yes","No","1"
100025,"female","Post-graduate training","$150,000 +","Yes","No","12"
100028,"female","Some college","$100,000 - $150,000","Yes","Yes","48"
100029,"male","Some high school","Don't know","Yes","No","7"
100038,"female","College graduate","$50,000 - $75,000","Yes","No","12"
100039,"female","Some high school","Refused","No","No","2"
100042,"male","Post-graduate training","$100,000 - $150,000","Yes","No","4"
100044,"female","Post-graduate training","$50,000 - $75,000","Yes","No","16"
100048,"female","High school graduate","Refused","Yes","No","12"
100052,"female","High school graduate","$30,000 - $40,000","Yes","No","0"
100060,"male","Some high school","$50,000 - $75,000","No","No","3"
100061,"male","Post-graduate training","$10,000 - $20,000","No","No","0"
100065,"male","Some high school","$30,000 - $40,000","No","No","0"
100067,"female","Post-graduate training","$75,000 - $100,000","Yes","No","96"
100069,"female","High school graduate","$20,000 - $30,000","No","No","4"
100080,"female","Post-graduate training","$50,000 - $75,000","Yes","No","3"
100081,"female","Some college","$20,000 - $30,000","Yes","No","2"
100084,"female","Post-graduate training","Refused","Yes","No","2"
100096,"female","High school graduate","< $10,000","No","No","0"
100107,"female","Some college","$30,000 - $40,000","Yes","No","2"
100109,"female","Some college","$150,000 +","Yes","No","5"
100112,"female","High school graduate","$20,000 - $30,000","No","No","0"
100114,"female","High school graduate","$40,000 - $50,000","Yes","No","3"
100119,"female","8th grade or less","< $10,000","No","No","Don't Know"
100121,"female","College graduate","$40,000 - $50,000","Yes","No","15"
100123,"male","High school graduate","Don't know","Yes","No","3"
100127,"female","College graduate","$30,000 - $40,000","Yes","No","97 or more"
100136,"female","High school graduate","$20,000 - $30,000","Yes","No","5"
100137,"male","College graduate","$50,000 - $75,000","Yes","No","12"
100139,"female","Some high school","$10,000 - $20,000","No","No","0"
100150,"male","8th grade or less","Don't know","Yes","No","2"
100152,"male","College graduate","Refused","Yes","No","97 or more"
100165,"female","Post-graduate training","$150,000 +","Yes","No","30"
100166,"male","Post-graduate training","$150,000 +","Yes","No","6"
100167,"female","Some college","$50,000 - $75,000","No","No","97 or more"
100168,"female","Some college","$75,000 - $100,000","Yes","Yes","35"
100177,"male","High school graduate","$40,000 - $50,000","No","No","3"
100179,"female","High school graduate","Don't know","No","No","0"
100182,"male","High school graduate","$40,000 - $50,000","Yes","Yes","6"
100185,"female","Post-graduate training","$10,000 - $20,000","Yes","No","12"
100188,"male","8th grade or less","Don't know","Yes","No","24"
100195,"female","High school graduate","$30,000 - $40,000","No","No","0"
100201,"female","College graduate","$100,000 - $150,000","Yes","Yes","10"
100203,"female","Some college","Refused","Yes","No","3"
100211,"female","High school graduate","$10,000 - $20,000","Yes","No","6"
100217,"female","Some college","$50,000 - $75,000","Yes","No","50"
100219,"male","High school graduate","$20,000 - $30,000","No","No","0"
100222,"female","College graduate","$50,000 - $75,000","Yes","No","15"
100225,"male","High school graduate","$50,000 - $75,000","Yes","No","2"
100227,"male","High school graduate","$40,000 - $50,000","Yes","No","4"
100231,"male","High school graduate","$10,000 - $20,000","Yes","No","12"
100232,"female","Post-graduate training","$75,000 - $100,000","Yes","No","10"
100234,"female","College graduate","$50,000 - $75,000","Yes","Yes","2"
100238,"male","High school graduate","$20,000 - $30,000","No","No","0"
100241,"male","High school graduate","< $10,000","Yes","No","65"
100245,"female","High school graduate","$20,000 - $30,000","Yes","No","20"
100248,"female","Technical school","$10,000 - $20,000","No","No","0"
100254,"female","High school graduate","$40,000 - $50,000","Yes","Yes","3"
100256,"female","College graduate","$75,000 - $100,000","Yes","No","12"
100257,"female","Some college","$40,000 - $50,000","Yes","No","24"
100258,"male","Post-graduate training","$75,000 - $100,000","Yes","Yes","1"
100259,"male","High school graduate","$10,000 - $20,000","No","No","0"
100264,"female","High school graduate","$10,000 - $20,000","Yes","No","3"
100265,"female","High school graduate","< $10,000","No","No","3"
100267,"female","High school graduate","$20,000 - $30,000","Yes","No","0"
100270,"female","Post-graduate training","$75,000 - $100,000","Yes","No","13"
100276,"female","College graduate","$20,000 - $30,000","Yes","No","4"
100282,"male","High school graduate","$50,000 - $75,000","Yes","No","0"
100286,"female","High school graduate","$40,000 - $50,000","Yes","No","2"
100289,"female","Some college","Refused","Yes","No","25"
100294,"female","College graduate","$100,000 - $150,000","Yes","Yes","97 or more"
100297,"female","Some high school","$20,000 - $30,000","Yes","No","5"
100301,"male","Post-graduate training","$50,000 - $75,000","Yes","No","25"
100311,"male","Some college","$20,000 - $30,000","Yes","No","5"
100320,"male","College graduate","$75,000 - $100,000","Yes","No","25"
100336,"female","8th grade or less","< $10,000","No","No","2"
100339,"female","High school graduate","Refused","No","No","Refused"
100341,"male","Some high school","$10,000 - $20,000","No","No","1"
100347,"female","High school graduate","$40,000 - $50,000","No","No","0"
100351,"male","Some college","$75,000 - $100,000","Yes","No","1"
100353,"female","High school graduate","Don't know","Yes","No","0"
100356,"female","Refused","$100,000 - $150,000","Yes","No","12"
100367,"female","High school graduate","Don't know","No","No","6"
100368,"male","College graduate","$50,000 - $75,000","Yes","No","2"
100371,"female","High school graduate","$30,000 - $40,000","Yes","No","97 or more"
100372,"male","Refused","$50,000 - $75,000","No","No","0"
100373,"female","High school graduate","$20,000 - $30,000","No","No","0"
100374,"male","Some high school","Don't know","Yes","Yes","7"
100376,"female","High school graduate","$10,000 - $20,000","Yes","No","0"
100386,"male","Some high school","$20,000 - $30,000","Yes","No","12"
100391,"female","College graduate","$75,000 - $100,000","Yes","No","97 or more"
100397,"female","College graduate","Refused","No","No","2"
100403,"male","College graduate","$50,000 - $75,000","No","No","6"
100404,"male","8th grade or less","Don't know","Yes","No","0"
100407,"male","College graduate","$40,000 - $50,000","Yes","No","9"
100409,"female","Some college","$30,000 - $40,000","Yes","Yes","Refused"
100410,"female","Post-graduate training","Refused","Yes","No","0"
100413,"female","High school graduate","Don't know","No","No","0"
100414,"male","High school graduate","$50,000 - $75,000","Yes","Yes","30"
100417,"female","High school graduate","Refused","Yes","No","5"
100425,"male","Some college","Don't know","Yes","No","50"
100431,"male","Some college","$20,000 - $30,000","Yes","No","50"
100432,"female","High school graduate","< $10,000","No","No","50"
100435,"female","Some college","$20,000 - $30,000","Yes","No","0"
100441,"female","High school graduate","$10,000 - $20,000","Yes","No","97 or more"
100446,"male","Post-graduate training","Refused","Yes","No","8"
100457,"female","High school graduate","Refused","No","No","5"
100458,"female","Post-graduate training","$75,000 - $100,000","Yes","No","15"
100460,"female","High school graduate","$50,000 - $75,000","No","No","97 or more"
100465,"female","Post-graduate training","$20,000 - $30,000","Yes","No","9"
100466,"female","Post-graduate training","$75,000 - $100,000","Yes","No","24"
100467,"male","Some college","$50,000 - $75,000","Yes","No","6"
100473,"male","Some college","$10,000 - $20,000","Yes","No","5"
100483,"female","Some high school","< $10,000","Yes","No","20"
100489,"female","Some college","$10,000 - $20,000","Yes","No","Don't Know"
100497,"female","High school graduate","$50,000 - $75,000","Yes","No","7"
100503,"male","Some college","$50,000 - $75,000","Yes","No","11"
100511,"male","College graduate","$50,000 - $75,000","Yes","No","2"
100522,"female","High school graduate","$20,000 - $30,000","Yes","No","1"
100525,"male","Some college","$20,000 - $30,000","No","No","30"
100528,"male","College graduate","$100,000 - $150,000","Yes","No","4"
100533,"female","Some college","$50,000 - $75,000","Yes","No","5"
100538,"female","High school graduate","$10,000 - $20,000","No","No","Don't Know"
100539,"male","8th grade or less","$30,000 - $40,000","No","No","0"
100553,"female","High school graduate","$20,000 - $30,000","Yes","No","4"
100554,"male","Some college","Refused","Yes","No","10"
100558,"female","College graduate","$40,000 - $50,000","Yes","Yes","97 or more"
100560,"male","High school graduate","$10,000 - $20,000","No","No","3"
100570,"male","High school graduate","Don't know","Yes","No","7"
100571,"female","Some high school","$75,000 - $100,000","Yes","No","12"
100572,"female","High school graduate","Refused","No","No","0"
100573,"female","High school graduate","Refused","Yes","No","5"
100575,"female","Some college","Don't know","Yes","Yes","5"
100577,"male","High school graduate","$40,000 - $50,000","No","No","0"
100586,"female","College graduate","Refused","Yes","No","4"
100589,"male","Post-graduate training","$75,000 - $100,000","Yes","No","5"
100591,"female","High school graduate","Don't know","No","No","3"
100592,"male","Some college","$75,000 - $100,000","Yes","Yes","12"
100595,"female","Some college","$75,000 - $100,000","Yes","No","97 or more"
100597,"male","College graduate","$20,000 - $30,000","Yes","No","7"
100598,"male","Some high school","$10,000 - $20,000","No","No","0"
100602,"male","Some college","$50,000 - $75,000","Yes","No","97 or more"
100611,"female","Some high school","Don't know","Yes","No","30"
100613,"female","High school graduate","$30,000 - $40,000","Yes","No","1"
100615,"male","Post-graduate training","$50,000 - $75,000","Yes","Yes","40"
100618,"male","High school graduate","< $10,000","No","No","0"
100620,"female","Some college","$20,000 - $30,000","Yes","No","0"
100621,"female","Some college","$30,000 - $40,000","Yes","No","0"
100622,"male","Some college","$75,000 - $100,000","No","No","0"
100623,"female","College graduate","$30,000 - $40,000","No","No","75"
100627,"female","Some high school","Refused","No","No","15"
100629,"male","Post-graduate training","$50,000 - $75,000","Yes","No","4"
100631,"female","Post-graduate training","Refused","Yes","No","20"
100635,"male","High school graduate","Refused","Yes","No","4"
100639,"female","High school graduate","Don't know","No","No","10"
100643,"female","High school graduate","$50,000 - $75,000","No","No","1"
100645,"female","Some high school","< $10,000","Yes","No","0"
100646,"female","College graduate","< $10,000","No","No","1"
100647,"male","High school graduate","$30,000 - $40,000","Yes","No","1"
100648,"female","Some college","$20,000 - $30,000","No","No","0"
100652,"female","College graduate","$75,000 - $100,000","Yes","No","0"
100658,"female","Some college","Don't know","No","No","97 or more"
100669,"male","Some college","Don't know","No","No","0"
100670,"male","Some college","$50,000 - $75,000","Yes","No","5"
100675,"female","Post-graduate training","$100,000 - $150,000","Yes","No","60"
100677,"female","High school graduate","$10,000 - $20,000","No","No","2"
100678,"male","High school graduate","$10,000 - $20,000","No","No","6"
100680,"male","High school graduate","Refused","No","No","0"
100686,"female","Post-graduate training","$100,000 - $150,000","Yes","Yes","20"
100688,"male","Post-graduate training","$50,000 - $75,000","Yes","No","25"
100694,"female","Some college","Refused","No","No","0"
100699,"female","High school graduate","Don't know","Yes","No","0"
100702,"female","High school graduate","$10,000 - $20,000","No","No","2"
100703,"male","Post-graduate training","$75,000 - $100,000","No","Yes","5"
100705,"female","Some college","$10,000 - $20,000","Yes","No","4"
100706,"female","Some college","Refused","Yes","No","6"
100707,"female","Some college","Don't know","No","No","1"
100712,"female","Some college","$75,000 - $100,000","Yes","Yes","15"
100720,"male","College graduate","$100,000 - $150,000","Yes","No","60"
100724,"female","High school graduate","Refused","Yes","No","12"
100725,"female","Some college","Don't know","No","No","0"
