Nombre,Plataforma,Fecha,Genero,VentasEEUU,VentasEU,VentasJP,VentasOtros,Ventas
Grand Theft Auto: San Andreas,PS2,2004,Action,9.43,0.4,0.41,10.57,20.81
Grand Theft Auto: Vice City,PS2,2002,Action,8.41,5.49,0.47,1.78,16.15
Grand Theft Auto III,PS2,2001,Action,6.99,4.51,0.3,1.3,13.1
Super Mario 64,DS,2004,Platform,5.08,3.11,1.25,0.98,10.42
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,2.9,2.83,0.24,1.75,7.72
Super Mario Sunshine,GC,2002,Platform,4.01,1.26,0.87,0.17,6.31
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,2.45,2.01,0.87,0.72,6.05
Super Mario Advance,GBA,2001,Platform,3.14,1.24,0.91,0.2,5.49
Super Mario World,GBA,2001,Platform,3.21,1.11,0.95,0.2,5.46
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,2.07,2.29,0.24,0.82,5.42
Super Mario Bros. 3,GBA,2003,Platform,2.93,1.25,0.83,0.2,5.2
Madden NFL 06,PS2,2005,Sports,3.98,0.26,0.01,0.66,4.91
The Lord of the Rings: The Two Towers,PS2,2002,Action,1.94,1.95,0.08,0.7,4.67
The Legend of Zelda: The Wind Waker,GC,2002,Action,2.6,0.99,0.89,0.13,4.6
Madden NFL 2005,PS2,2004,Sports,4.18,0.26,0.01,0.08,4.53
Spider-Man: The Movie,PS2,2002,Action,2.71,1.51,0.03,0.23,4.48
God of War,PS2,2005,Action,2.71,1.29,0.02,0.43,4.45
Tony Hawk's Pro Skater 3,PS2,2001,Sports,2.66,1.29,0.01,0.46,4.41
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,1.46,0.0,0.83,1.93,4.23
FIFA Soccer 06,PS2,2005,Sports,0.78,2.55,0.04,0.84,4.21
Madden NFL 2003,PS2,2002,Sports,3.36,0.21,0.01,0.56,4.14
World Soccer Winning Eleven 9,PS2,2005,Sports,0.12,2.26,0.9,0.77,4.06
Tony Hawk's Underground,PS2,2003,Sports,2.29,1.17,0.01,0.42,3.9
World Soccer Winning Eleven 8 International,PS2,2004,Sports,0.16,1.89,1.12,0.68,3.85
Harry Potter and the Sorcerer's Stone,PS,2001,Action,1.37,2.0,0.14,0.22,3.73
FIFA Soccer 2005,PS2,2004,Sports,0.58,2.48,0.04,0.59,3.7
Tony Hawk's Pro Skater 4,PS2,2002,Sports,2.13,1.18,0.01,0.35,3.67
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,2.08,1.09,0.15,0.33,3.64
Resident Evil 4,PS2,2005,Action,2.08,0.83,0.46,0.25,3.62
Luigi's Mansion,GC,2001,Action,2.38,0.67,0.46,0.1,3.6
