"Nombre" "Plataforma" "Fecha" "Genero" "VentasEEUU" "VentasEU" "VentasJP" "VentasOtros" "Ventas"
"18" "Grand Theft Auto: San Andreas" "PS2" "2004" "Action" 9.43 0.4 0.41 10.57 20.81
"25" "Grand Theft Auto: Vice City" "PS2" "2002" "Action" 8.41 5.49 0.47 1.78 16.15
"39" "Grand Theft Auto III" "PS2" "2001" "Action" 6.99 4.51 0.3 1.3 13.1
"60" "Super Mario 64" "DS" "2004" "Platform" 5.08 3.11 1.25 0.98 10.42
"91" "Grand Theft Auto: Liberty City Stories" "PSP" "2005" "Action" 2.9 2.83 0.24 1.75 7.72
"136" "Super Mario Sunshine" "GC" "2002" "Platform" 4.01 1.26 0.87 0.17 6.31
"143" "Metal Gear Solid 2: Sons of Liberty" "PS2" "2001" "Action" 2.45 2.01 0.87 0.72 6.05
"163" "Super Mario Advance" "GBA" "2001" "Platform" 3.14 1.24 0.91 0.2 5.49
"165" "Super Mario World" "GBA" "2001" "Platform" 3.21 1.11 0.95 0.2 5.46
"168" "Crash Bandicoot: The Wrath of Cortex" "PS2" "2001" "Platform" 2.07 2.29 0.24 0.82 5.42
"183" "Super Mario Bros. 3" "GBA" "2003" "Platform" 2.93 1.25 0.83 0.2 5.2
"212" "Madden NFL 06" "PS2" "2005" "Sports" 3.98 0.26 0.01 0.66 4.91
"228" "The Lord of the Rings: The Two Towers" "PS2" "2002" "Action" 1.94 1.95 0.08 0.7 4.67
"233" "The Legend of Zelda: The Wind Waker" "GC" "2002" "Action" 2.6 0.99 0.89 0.13 4.6
"239" "Madden NFL 2005" "PS2" "2004" "Sports" 4.18 0.26 0.01 0.08 4.53
"242" "Spider-Man: The Movie" "PS2" "2002" "Action" 2.71 1.51 0.03 0.23 4.48
"246" "God of War" "PS2" "2005" "Action" 2.71 1.29 0.02 0.43 4.45
"249" "Tony Hawk's Pro Skater 3" "PS2" "2001" "Sports" 2.66 1.29 0.01 0.46 4.41
"266" "Metal Gear Solid 3: Snake Eater" "PS2" "2004" "Action" 1.46 0 0.83 1.93 4.23
"270" "FIFA Soccer 06" "PS2" "2005" "Sports" 0.78 2.55 0.04 0.84 4.21
"280" "Madden NFL 2003" "PS2" "2002" "Sports" 3.36 0.21 0.01 0.56 4.14
"293" "World Soccer Winning Eleven 9" "PS2" "2005" "Sports" 0.12 2.26 0.9 0.77 4.06
"307" "Tony Hawk's Underground" "PS2" "2003" "Sports" 2.29 1.17 0.01 0.42 3.9
"316" "World Soccer Winning Eleven 8 International" "PS2" "2004" "Sports" 0.16 1.89 1.12 0.68 3.85
"331" "Harry Potter and the Sorcerer's Stone" "PS" "2001" "Action" 1.37 2 0.14 0.22 3.73
"335" "FIFA Soccer 2005" "PS2" "2004" "Sports" 0.58 2.48 0.04 0.59 3.7
"340" "Tony Hawk's Pro Skater 4" "PS2" "2002" "Sports" 2.13 1.18 0.01 0.35 3.67
"346" "Jak and Daxter: The Precursor Legacy" "PS2" "2001" "Platform" 2.08 1.09 0.15 0.33 3.64
"351" "Resident Evil 4" "PS2" "2005" "Action" 2.08 0.83 0.46 0.25 3.62
"357" "Luigi's Mansion" "GC" "2001" "Action" 2.38 0.67 0.46 0.1 3.6
"362" "The Getaway" "PS2" "2002" "Action" 1.23 1.77 0.05 0.49 3.54
"365" "LEGO Star Wars: The Video Game" "PS2" "2005" "Action" 1.98 1.14 0.01 0.41 3.53
"391" "Spider-Man 2" "PS2" "2004" "Action" 1.75 1.2 0.02 0.43 3.41
"393" "FIFA Soccer 2003" "PS2" "2002" "Sports" 0.46 2.28 0.05 0.61 3.4
"405" "Ratchet & Clank" "PS2" "2002" "Platform" 1.44 1.01 0.57 0.3 3.33
"407" "Star Wars Episode III: Revenge of the Sith" "PS2" "2005" "Action" 1.47 1.39 0.03 0.43 3.32
"409" "The Lord of the Rings: The Return of the King" "PS2" "2003" "Action" 1.5 1.28 0.05 0.46 3.28
"412" "True Crime: Streets of LA" "PS2" "2003" "Action" 1.89 1.05 0.02 0.31 3.27
"429" "Enter the Matrix" "PS2" "2003" "Action" 1.78 1.12 0.09 0.19 3.18
"438" "Sonic Rush" "DS" "2005" "Platform" 1.22 1.57 0.06 0.29 3.15
"452" "Madden NFL 2002" "PS2" "2001" "Sports" 2.5 0.16 0.01 0.42 3.08
"465" "Tom Clancy's Splinter Cell" "XB" "2002" "Action" 1.85 1.04 0 0.13 3.02
"467" "WWE SmackDown! Shut Your Mouth" "PS2" "2002" "Sports" 1.45 1.13 0.07 0.38 3.02
"475" "World Soccer Winning Eleven 6 International" "PS2" "2002" "Sports" 0.12 1.26 1.16 0.45 2.99
"476" "Devil May Cry" "PS2" "2001" "Action" 1.36 0.86 0.64 0.13 2.99
"481" "Sonic Heroes" "PS2" "2003" "Platform" 1.04 1.37 0.06 0.49 2.96
"483" "Hitman 2: Silent Assassin" "PS2" "2002" "Action" 1.36 1.15 0.04 0.41 2.96
"493" "Super Mario World 2: Yoshi's Island" "GBA" "2002" "Platform" 1.75 0.45 0.62 0.09 2.91
"498" "World Soccer Winning Eleven 7 International" "PS2" "2003" "Sports" 0.08 1.24 1.13 0.45 2.9
"500" "Hot Shots Golf 3" "PS2" "2001" "Sports" 0.99 0.32 1.38 0.2 2.89
"521" "Finding Nemo" "GBA" "2003" "Action" 1.59 1.05 0.04 0.14 2.82
"535" "NBA Street" "PS2" "2001" "Sports" 2.19 0.22 0 0.38 2.79
"538" "Jak II" "PS2" "2003" "Platform" 1.68 0.74 0 0.36 2.78
"540" "Ratchet & Clank: Going Commando" "PS2" "2003" "Platform" 1.44 0.83 0.26 0.25 2.78
"552" "The Legend of Zelda: A Link to the Past" "GBA" "2002" "Action" 1.75 0.52 0.33 0.1 2.7
"553" "Onimusha: Warlords" "PS2" "2001" "Action" 0.99 0.48 1.09 0.14 2.7
"571" "Tom Clancy's Splinter Cell" "PS2" "2003" "Action" 1.15 1.11 0 0.4 2.65
"581" "ESPN NFL 2K5" "PS2" "2004" "Sports" 2.15 0.12 0 0.36 2.62
"587" "Harry Potter and the Chamber of Secrets" "PS2" "2002" "Action" 0.9 1.22 0.04 0.44 2.61
"592" "NBA Live 2005" "PS2" "2004" "Sports" 2.03 0.21 0 0.35 2.59
"598" "Ratchet & Clank: Up Your Arsenal" "PS2" "2004" "Platform" 1.31 0.74 0.31 0.22 2.57
"602" "Sonic Adventure 2 Battle" "GC" "2001" "Platform" 1.7 0.59 0.21 0.07 2.56
"618" "Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City" "XB" "2003" "Action" 1.84 0.56 0 0.09 2.49
"667" "The Incredibles" "PS2" "2004" "Action" 0.96 1.08 0.04 0.3 2.37
"668" "Tony Hawk's Underground 2" "PS2" "2004" "Sports" 1.25 0.86 0.01 0.26 2.37
"679" "Resident Evil - Code: Veronica X" "PS2" "2001" "Action" 1.08 0.7 0.34 0.21 2.34
"709" "Kirby: Nightmare in Dream Land" "GBA" "2002" "Platform" 1.22 0.1 0.91 0.04 2.27
"710" "Wario Land 4" "GBA" "2001" "Platform" 0.9 0.73 0.54 0.09 2.26
"721" "Sonic Advance" "GBA" "2001" "Platform" 1.19 0.71 0.22 0.13 2.24
"722" "Spyro: Season of Ice" "GBA" "2001" "Platform" 1.29 0.83 0 0.11 2.23
"727" "Prince of Persia: The Sands of Time" "PS2" "2003" "Action" 0.88 1.03 0 0.31 2.22
"784" "Dynasty Warriors 4" "PS2" "2003" "Action" 0.63 0.21 1.13 0.13 2.11
"787" "Scooby-Doo! Night of 100 Frights" "PS2" "2002" "Platform" 1.17 0.72 0 0.22 2.1
"788" "Project Gotham Racing (JP weekly sales)" "XB" "2002" "Action" 1.54 0.44 0.04 0.07 2.1
"791" "Devil May Cry 3: Dante's Awakening" "PS2" "2005" "Action" 0.99 0.63 0.29 0.19 2.09
"794" "Finding Nemo" "PS2" "2003" "Action" 1.26 0.6 0.05 0.18 2.09
"818" "The Incredibles" "GBA" "2004" "Action" 1.15 0.77 0.04 0.1 2.06
"834" "Peter Jackson's King Kong: The Official Game of the Movie" "PS2" "2005" "Action" 0.71 1.02 0 0.31 2.04
"835" "Donkey Kong Country" "GBA" "2003" "Platform" 1.2 0.48 0.29 0.07 2.04
"840" "NBA Live 2004" "PS2" "2003" "Sports" 1.57 0.18 0 0.27 2.03
"854" "Harry Potter and the Chamber of Secrets" "GBA" "2002" "Action" 1.21 0.64 0.05 0.09 1.99
"855" "Harry Potter and the Chamber of Secrets" "PS" "2002" "Action" 0.75 1.09 0.02 0.12 1.98
"861" "Spyro: Enter the Dragonfly" "PS2" "2002" "Platform" 0.74 0.95 0 0.28 1.97
"863" "Devil May Cry 2" "PS2" "2003" "Action" 0.71 0.58 0.51 0.17 1.97
"867" "Hot Shots Golf: Open Tee" "PSP" "2004" "Sports" 0.5 0.5 0.63 0.33 1.96
"874" "Grand Theft Auto: San Andreas" "XB" "2005" "Action" 1.26 0.61 0 0.09 1.95
"876" "NBA Street Vol. 2" "PS2" "2003" "Sports" 1.69 0.2 0 0.06 1.95
"922" "Dynasty Warriors 3" "PS2" "2001" "Action" 0.53 0.16 1.07 0.1 1.87
"925" "Madden NFL 06" "XB" "2005" "Sports" 1.75 0.03 0 0.08 1.86
"926" "Shrek 2" "PS2" "2004" "Platform" 1.12 0.69 0.03 0.02 1.86
"931" "NBA Live 2002" "PS2" "2001" "Sports" 0.91 0.71 0 0.24 1.86
"936" "Jak 3" "PS2" "2004" "Platform" 1.33 0.49 0 0.03 1.85
"943" "NCAA Football 06" "PS2" "2005" "Sports" 1.53 0.05 0 0.25 1.84
"962" "Sly 2: Band of Thieves" "PS2" "2004" "Platform" 0.88 0.69 0 0.23 1.81
"964" "Sonic Advance 2" "GBA" "2002" "Platform" 0.93 0.59 0.21 0.07 1.8
"974" "SpongeBob SquarePants: SuperSponge" "PS" "2001" "Action" 1.12 0.58 0 0.08 1.78
"975" "The Getaway: Black Monday" "PS2" "2004" "Action" 0.39 1.01 0.02 0.36 1.78
"980" "50 Cent: Bulletproof" "PS2" "2005" "Action" 0.85 0.76 0 0.16 1.77
"990" "The SpongeBob SquarePants Movie" "PS2" "2004" "Platform" 1.06 0.54 0 0.16 1.76
"996" "State of Emergency" "PS2" "2002" "Action" 0.86 0.67 0 0.22 1.76
"1007" "Pro Evolution Soccer" "PS2" "2001" "Sports" 0.06 0.9 0.53 0.27 1.75
"1026" "SSX Tricky" "PS2" "2001" "Sports" 0.85 0.66 0 0.22 1.73
"1031" "Crash Bandicoot: The Huge Adventure" "GBA" "2002" "Platform" 0.95 0.7 0 0.08 1.73
"1033" "Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City" "PS2" "2003" "Action" 0.85 0.66 0 0.22 1.72
"1039" "Madden NFL 2005" "XB" "2004" "Sports" 1.61 0.03 0 0.08 1.72
"1067" "Harry Potter and the Sorcerer's Stone" "GBA" "2001" "Action" 0.87 0.66 0.08 0.08 1.69
"1071" "Resident Evil 4" "GC" "2005" "Action" 0.98 0.42 0.22 0.06 1.69
"1082" "Metroid Fusion" "GBA" "2002" "Action" 1.18 0.27 0.17 0.06 1.68
"1084" "SSX 3" "PS2" "2003" "Sports" 0.93 0.52 0 0.22 1.67
"1091" "Tony Hawk's Pro Skater 3" "PS" "2001" "Sports" 1.09 0.49 0.02 0.07 1.67
"1096" "NCAA Football 2004" "PS2" "2003" "Sports" 1.35 0.09 0 0.23 1.67
"1097" "SpongeBob SquarePants: Battle for Bikini Bottom" "PS2" "2003" "Platform" 1.08 0.45 0 0.14 1.67
"1103" "NBA Ballers" "PS2" "2004" "Sports" 0.81 0.63 0 0.21 1.66
"1105" "NBA Live 2003" "PS2" "2002" "Sports" 1.25 0.15 0.03 0.22 1.66
"1114" "Kirby & the Amazing Mirror" "GBA" "2004" "Platform" 0.8 0.05 0.76 0.03 1.64
"1119" "Tiger Woods PGA Tour 2003" "PS2" "2002" "Sports" 0.8 0.63 0 0.21 1.64
"1120" "NBA Live 06 (All region sales)" "PS2" "2005" "Sports" 1.44 0.15 0 0.05 1.64
"1121" "Prince of Persia: Warrior Within" "PS2" "2004" "Action" 0.54 0.88 0 0.22 1.64
"1124" "ESPN NFL 2K5" "XB" "2004" "Sports" 1.54 0.02 0 0.07 1.63
"1129" "Tiger Woods PGA Tour 2004" "PS2" "2003" "Sports" 1.18 0.34 0 0.1 1.63
"1132" "NCAA Football 2005" "PS2" "2004" "Sports" 1.32 0.09 0 0.22 1.62
"1135" "Tony Hawk's American Wasteland (Old all region sales)" "PS2" "2005" "Sports" 0.8 0.63 0.01 0.19 1.62
"1141" "NFL Street 2" "PS2" "2004" "Sports" 0.79 0.62 0 0.21 1.61
"1145" "Super Mario Strikers" "GC" "2005" "Sports" 0.98 0.38 0.2 0.04 1.61
"1151" "Dollar Dash" "PS2" "2005" "Action" 1.3 0.23 0 0.07 1.6
"1158" "Sonic Heroes" "GC" "2003" "Platform" 1.05 0.44 0.06 0.04 1.6
"1159" "ESPN NBA 2K5" "PS2" "2004" "Sports" 1.26 0.12 0 0.21 1.59
"1180" "Spyro 2: Season of Flame" "GBA" "2002" "Platform" 0.85 0.65 0 0.08 1.58
"1182" "NCAA Football 2002" "PS2" "2001" "Sports" 0.77 0.6 0 0.2 1.57
"1202" "Spider-Man 2: Enter: Electro" "PS" "2001" "Action" 0.57 0.87 0.02 0.09 1.55
"1216" "MVP Baseball 2005" "PS2" "2005" "Sports" 1.26 0.07 0 0.21 1.54
